filename,mean_grain_diameter_px,grain_count
images(369).jpg,12.15,42
images(37).jpg,7.0,13
images(370).jpg,22.94,13
images(371).jpg,81.49,3
images(374).jpg,36.1,11
images(376).jpg,126.07,2
images(377).jpg,214.85,1
images(378).jpg,13.1,33
images(379).jpg,12.87,32
images(38).jpg,36.3,6
images(380).jpg,102.01,2
images(382).jpg,15.2,14
images(383).jpg,16.38,25
images(384).jpg,78.15,3
images(385).jpg,20.95,11
images(386).jpg,13.04,22
images(387).jpg,16.05,22
images(388).jpg,64.79,4
images(389).jpg,4.89,13
images(39).jpg,10.28,36
images(390).jpg,35.56,9
images(391).jpg,52.32,5
images(393).jpg,81.19,3
images(394).jpg,251.61,1
images(395).jpg,12.49,21
images(396).jpg,10.89,11
images(397).jpg,41.24,6
images(4).jpg,52.31,2
images(40).jpg,34.08,8
images(400).jpg,249.15,1
images(405).jpg,23.98,10
images(406).jpg,14.35,24
images(407).jpg,17.57,20
images(409).jpg,17.89,19
images(41).jpg,22.47,9
images(412).jpg,250.68,1
images(413).jpg,64.22,4
images(414).jpg,37.99,7
images(417).jpg,37.75,7
images(42).jpg,25.6,11
images(420).jpg,252.11,1
images(421).jpg,49.66,5
images(422).jpg,20.11,5
images(423).jpg,97.04,3
images(424).jpg,252.76,1
images(425).jpg,246.8,1
images(428).jpg,27.23,8
images(429).jpg,15.07,23
images(43).jpg,9.6,8
images(430).jpg,15.25,18
images(431).jpg,19.9,15
images(432).jpg,24.03,11
images(433).jpg,251.98,1
images(434).jpg,117.6,2
images(435).jpg,10.22,37
images(436).jpg,251.02,1
images(438).jpg,9.32,27
images(44).jpg,18.02,15
images(440).jpg,10.49,37
images(45).jpg,89.37,1
images(455).jpg,71.19,3
images(456).jpg,9.94,25
images(457).jpg,15.95,27
images(46).jpg,61.41,1
images(460).jpg,83.12,3
images(461).jpg,14.71,32
images(462).jpg,51.56,5
images(463).jpg,11.11,36
images(464).jpg,14.79,30
images(465).jpg,10.46,8
images(466).jpg,3.74,1
images(467).jpg,13.67,43
images(468).jpg,44.96,6
images(469).jpg,20.18,17
images(47).jpg,25.15,4
images(48).jpg,43.67,7
images(484).jpg,15.0,29
images(485).jpg,126.98,2
images(487).jpg,105.2,2
images(488).jpg,23.46,11
images(489).jpg,126.47,2
images(49).jpg,23.09,13
images(497).jpg,27.58,10
images(498).jpg,27.68,10
images(499).jpg,37.35,6
images(5).jpg,27.57,4
images(50).jpg,29.27,11
images(500).jpg,134.93,2
images(501).jpg,57.71,4
images(502).jpg,12.41,31
images(504).jpg,30.08,7
images(506).jpg,6.55,44
images(507).jpg,252.39,1
images(508).jpg,31.95,9
images(509).jpg,32.97,8
images(51).jpg,227.97,1
images(515).jpg,53.56,4
images(519).jpg,38.39,5
images(52).jpg,15.48,33
images(525).jpg,232.68,1
images(526).jpg,11.86,21
images(527).jpg,118.66,2
images(528).jpg,0,0
images(529).jpg,143.98,1
images(53).jpg,0,0
images(530).jpg,27.11,13
images(531).jpg,22.64,5
images(54).jpg,8.69,38
images(55).jpg,9.33,28
images(56).jpg,9.62,54
images(57).jpg,15.5,8
images(58).jpg,28.02,1
images(59).jpg,16.8,28
images(6).jpg,10.3,3
images(60).jpg,30.43,10
images(61).jpg,12.8,6
images(62).jpg,14.17,15
images(63).jpg,131.84,2
images(64).jpg,250.89,1
images(65).jpg,243.5,1
images(66).jpg,183.11,1
images(67).jpg,53.52,4
images(68).jpg,18.97,18
images(69).jpg,5.28,3
images(70).jpg,8.65,8
images(71).jpg,111.6,1
images(73).jpg,111.55,1
images(74).jpg,10.93,11
images(75).jpg,21.59,3
images(76).jpg,12.84,15
images(77).jpg,27.57,10
images(78).jpg,7.01,15
images(79).jpg,224.55,1
images(8).jpg,19.03,2
images(80).jpg,10.18,28
images(81).jpg,21.45,7
images(82).jpg,19.48,5
images(83).jpg,30.37,6
images(84).jpg,27.17,7
images(85).jpg,68.69,3
images(86).jpg,81.92,3
images(87).jpg,18.17,13
images(88).jpg,41.68,5
images(89).jpg,9.65,30
images(9).jpg,111.71,1
images(90).jpg,11.35,12
images(91).jpg,17.05,6
images(92).jpg,18.87,17
images(93).jpg,251.95,1
images(94).jpg,16.29,19
images(95).jpg,15.51,11
images(96).jpg,24.91,3
images(97).jpg,12.86,21
images(98).jpg,5.69,2
images(99).jpg,10.4,12
images.jpg,22.12,3
istockphoto-1009039398-612x612.jpg,26.83,30
istockphoto-1016473794-612x612.jpg,23.46,23
istockphoto-1062419138-612x612.jpg,14.49,114
istockphoto-1135857001-612x612.jpg,98.6,3
istockphoto-1164037901-612x612.jpg,20.26,13
istockphoto-1172732945-612x612.jpg,17.46,63
istockphoto-1200978594-612x612.jpg,138.66,4
istockphoto-484404526-612x612.jpg,24.18,33
istockphoto-492199581-612x612.jpg,21.27,23
istockphoto-516391884-612x612.jpg,13.93,44
istockphoto-929779624-612x612.jpg,66.83,6
istockphoto-93179285-612x612.jpg,10.51,116
Quartzite (1).jpg,16.53,28
Quartzite (2).jpg,7.06,356
quartzite-fuchsite.jpg,7.99,36
quartzite.jpg,14.63,38
quartzite1 (1).jpg,11.6,47
quartzite1.jpg,30.16,9
quartzite2 (1).jpg,0,0
quartzite2.jpg,5.37,3
QuartziteGrayGreenCUp.jpg,41.6,9
QuartziteTanSml.jpg,14.05,25
Quartzite_299251520-150x150.jpg,6.62,7
Silica_quartzite_368487638-150x150.jpg,12.39,6
