filename,mean_grain_diameter_px,grain_count,dominant_colors,color_percentages
190.jpg,250.44,1,"gray, black, gray","gray: 25.4%, black: 23.2%, gray: 21.2%"
191.jpg,252.12,1,"black, black, black","black: 63.2%, black: 17.8%, black: 9.7%"
192.jpg,168.11,1,"white, black, black","white: 52.8%, black: 24.1%, black: 11.3%"
193.jpg,121.79,1,"white, gray, gray","white: 75.0%, gray: 8.7%, gray: 8.6%"
194.jpg,111.3,1,"black, black, gray","black: 46.0%, black: 20.1%, gray: 17.5%"
195.jpg,80.13,3,"brown, black, gray","brown: 25.4%, black: 25.0%, gray: 21.2%"
196.jpg,251.51,1,"black, brown, black","black: 28.0%, brown: 26.0%, black: 24.5%"
197.jpg,191.51,1,"white, brown, black","white: 35.0%, brown: 27.1%, black: 27.0%"
198.jpg,251.45,1,"gray, black, black","gray: 29.1%, black: 25.2%, black: 22.1%"
199.jpg,251.67,1,"black, gray, black","black: 27.5%, gray: 25.8%, black: 22.6%"
2.jpg,62.3,20,"black, black, navy","black: 41.6%, black: 21.7%, navy: 18.6%"
20.jpg,306.58,1,"gray, navy, gray","gray: 29.3%, navy: 26.6%, gray: 20.0%"
200.jpg,251.6,1,"black, black, brown","black: 43.3%, black: 31.4%, brown: 15.4%"
201.jpg,250.5,1,"black, black, gray","black: 28.5%, black: 27.0%, gray: 26.0%"
202.jpg,85.72,3,"black, black, gray","black: 29.6%, black: 20.4%, gray: 19.8%"
203.jpg,113.81,2,"black, maroon, gray","black: 35.6%, maroon: 28.1%, gray: 12.5%"
204.jpg,128.88,2,"gray, black, gray","gray: 27.0%, black: 22.2%, gray: 22.1%"
205.jpg,95.31,2,"black, white, white","black: 46.6%, white: 24.7%, white: 19.8%"
206.jpg,52.18,5,"black, gray, white","black: 42.9%, gray: 23.0%, white: 18.9%"
207.jpg,250.31,1,"black, black, gray","black: 45.0%, black: 21.2%, gray: 15.3%"
208.jpg,44.45,2,"white, navy, black","white: 49.6%, navy: 27.9%, black: 17.6%"
209.jpg,21.02,16,"gray, gray, gray","gray: 31.4%, gray: 27.5%, gray: 17.7%"
21.jpg,45.9,10,"white, black, gray","white: 62.2%, black: 13.4%, gray: 11.2%"
210.jpg,196.62,1,"white, navy, gray","white: 38.0%, navy: 26.2%, gray: 16.2%"
211.jpg,252.55,1,"gray, black, black","gray: 28.2%, black: 20.1%, black: 19.7%"
212.jpg,107.06,2,"white, gray, gray","white: 45.0%, gray: 22.0%, gray: 15.4%"
213.jpg,250.31,1,"black, black, gray","black: 32.6%, black: 25.8%, gray: 25.0%"
214.jpg,252.14,1,"black, black, black","black: 32.6%, black: 19.8%, black: 18.2%"
215.jpg,14.73,30,"black, navy, gray","black: 28.1%, navy: 23.0%, gray: 20.2%"
216.jpg,39.21,7,"black, gray, maroon","black: 31.0%, gray: 22.7%, maroon: 22.5%"
217.jpg,23.17,12,"gray, navy, black","gray: 22.1%, navy: 20.2%, black: 20.0%"
218.jpg,251.79,1,"black, black, black","black: 30.2%, black: 26.3%, black: 22.4%"
219.jpg,27.0,9,"white, gray, black","white: 46.3%, gray: 27.2%, black: 16.4%"
22.jpg,54.11,6,"black, navy, gray","black: 28.8%, navy: 19.7%, gray: 17.7%"
220.jpg,51.51,2,"white, gray, gray","white: 27.8%, gray: 27.7%, gray: 23.2%"
221.jpg,39.09,7,"brown, gray, gray","brown: 30.7%, gray: 26.3%, gray: 18.8%"
222.jpg,39.13,8,"black, black, gray","black: 51.0%, black: 16.8%, gray: 16.8%"
223.jpg,41.61,7,"black, gray, gray","black: 28.5%, gray: 25.6%, gray: 22.8%"
224.jpg,209.82,1,"black, white, gray","black: 41.3%, white: 31.3%, gray: 15.0%"
225.jpg,51.09,5,"black, black, gray","black: 38.3%, black: 28.2%, gray: 13.4%"
226.jpg,145.66,2,"black, white, gray","black: 65.4%, white: 11.6%, gray: 11.3%"
227.jpg,251.47,1,"gray, gray, black","gray: 38.2%, gray: 27.4%, black: 17.4%"
228.jpg,189.75,1,"gray, black, black","gray: 31.5%, black: 25.1%, black: 18.1%"
229.jpg,242.3,1,"black, black, gray","black: 36.0%, black: 26.6%, gray: 21.8%"
23.jpg,88.96,3,"white, black, brown","white: 75.1%, black: 12.4%, brown: 5.8%"
230.jpg,168.46,1,"white, black, black","white: 53.2%, black: 23.4%, black: 17.9%"
231.jpg,48.83,5,"gray, gray, gray","gray: 27.4%, gray: 24.4%, gray: 19.2%"
232.jpg,251.98,1,"black, black, gray","black: 37.1%, black: 35.9%, gray: 16.3%"
233.jpg,37.4,5,"gray, gray, brown","gray: 29.5%, gray: 19.8%, brown: 17.8%"
234.jpg,110.47,1,"gray, dimgray, black","gray: 27.7%, dimgray: 22.6%, black: 21.8%"
235.jpg,99.63,1,"black, brown, gray","black: 28.1%, brown: 27.3%, gray: 20.2%"
236.jpg,18.95,16,"gray, brown, gray","gray: 30.0%, brown: 25.7%, gray: 21.0%"
237.jpg,251.34,1,"navy, black, gray","navy: 30.9%, black: 26.8%, gray: 24.9%"
238.jpg,223.41,1,"black, brown, gray","black: 44.3%, brown: 23.4%, gray: 12.8%"
239.jpg,173.63,1,"gray, black, gray","gray: 51.3%, black: 22.9%, gray: 10.8%"
24.jpg,4.78,18,"white, white, white","white: 77.0%, white: 12.2%, white: 6.5%"
240.jpg,82.62,1,"white, black, gray","white: 43.0%, black: 20.8%, gray: 17.9%"
241.jpg,109.63,3,"white, black, black","white: 41.1%, black: 26.1%, black: 20.6%"
242.jpg,247.86,1,"black, maroon, gray","black: 45.6%, maroon: 25.5%, gray: 13.9%"
243.jpg,48.99,6,"black, black, gray","black: 31.2%, black: 22.8%, gray: 19.4%"
244.jpg,116.77,2,"black, black, white","black: 31.1%, black: 23.6%, white: 19.3%"
245.jpg,132.27,1,"white, gray, gray","white: 56.3%, gray: 15.3%, gray: 13.1%"
246.jpg,237.26,1,"gray, navy, black","gray: 25.5%, navy: 24.8%, black: 23.2%"
247.jpg,53.46,5,"gray, black, gray","gray: 23.0%, black: 22.8%, gray: 21.6%"
248.jpg,71.24,4,"black, gray, white","black: 35.5%, gray: 29.0%, white: 21.3%"
249.jpg,251.72,1,"black, black, black","black: 41.0%, black: 40.8%, black: 11.6%"
25.jpg,6.39,26,"white, white, silver","white: 82.4%, white: 8.7%, silver: 4.4%"
250.jpg,251.63,1,"brown, gray, black","brown: 31.3%, gray: 30.5%, black: 21.9%"
251.jpg,25.93,11,"black, black, gray","black: 31.9%, black: 25.5%, gray: 18.6%"
252.jpg,252.1,1,"navy, navy, black","navy: 31.1%, navy: 27.4%, black: 22.6%"
253.jpg,39.46,6,"white, purple, black","white: 41.9%, purple: 25.1%, black: 19.1%"
254.jpg,252.04,1,"black, black, brown","black: 30.0%, black: 26.5%, brown: 21.2%"
255.jpg,196.2,1,"white, black, gray","white: 36.6%, black: 28.0%, gray: 20.3%"
256.jpg,251.51,1,"black, brown, black","black: 35.3%, brown: 21.6%, black: 20.2%"
257.jpg,91.9,2,"white, black, black","white: 59.3%, black: 17.0%, black: 12.0%"
258.jpg,79.37,1,"white, black, black","white: 47.6%, black: 22.5%, black: 21.9%"
259.jpg,124.61,2,"gray, gray, gray","gray: 24.2%, gray: 22.1%, gray: 22.0%"
26.jpg,352.17,1,"black, black, black","black: 31.2%, black: 29.9%, black: 25.5%"
260.jpg,178.08,1,"white, black, brown","white: 46.2%, black: 26.3%, brown: 16.5%"
261.jpg,251.49,1,"black, black, gray","black: 50.0%, black: 17.3%, gray: 15.2%"
262.jpg,59.16,4,"black, white, black","black: 33.3%, white: 30.2%, black: 28.5%"
263.jpg,86.46,1,"white, gray, navy","white: 37.8%, gray: 27.9%, navy: 18.3%"
264.jpg,252.67,1,"black, black, navy","black: 24.3%, black: 23.9%, navy: 23.3%"
265.jpg,127.52,2,"black, black, black","black: 37.3%, black: 23.4%, black: 20.4%"
266.jpg,221.65,1,"brown, gray, white","brown: 32.2%, gray: 29.9%, white: 18.3%"
267.jpg,244.24,1,"gray, black, black","gray: 31.1%, black: 25.0%, black: 22.6%"
268.jpg,120.08,2,"gray, gray, black","gray: 38.4%, gray: 28.6%, black: 19.1%"
269.jpg,252.22,1,"black, black, gray","black: 38.1%, black: 26.8%, gray: 23.0%"
27.jpg,7.83,79,"white, gray, gray","white: 88.1%, gray: 4.4%, gray: 2.8%"
270.jpg,15.6,6,"white, navy, black","white: 65.9%, navy: 17.6%, black: 11.7%"
271.jpg,23.52,4,"gray, white, gray","gray: 31.8%, white: 26.9%, gray: 18.8%"
272.jpg,247.42,1,"black, black, gray","black: 55.8%, black: 18.6%, gray: 10.6%"
273.jpg,248.33,1,"gray, black, black","gray: 27.4%, black: 25.9%, black: 25.8%"
274.jpg,252.48,1,"black, black, gray","black: 35.8%, black: 21.9%, gray: 20.0%"
275.jpg,234.01,1,"navy, black, gray","navy: 33.1%, black: 31.8%, gray: 15.1%"
276.jpg,124.88,2,"black, gray, black","black: 26.3%, gray: 23.2%, black: 23.0%"
277.jpg,227.63,1,"black, black, gray","black: 35.3%, black: 28.4%, gray: 15.6%"
278.jpg,14.53,21,"gray, white, gray","gray: 23.3%, white: 22.6%, gray: 19.3%"
279.jpg,250.11,1,"black, navy, black","black: 31.9%, navy: 23.2%, black: 21.2%"
