filename,mean_grain_diameter_px,grain_count,dominant_colors,color_percentages
193.jpg,11.44,127,"gray, gray, brown","gray: 32.0%, gray: 32.0%, brown: 14.7%"
194.jpg,14.02,118,"gray, gray, gray","gray: 25.8%, gray: 23.5%, gray: 22.0%"
195.jpg,562.0,1,"black, black, maroon","black: 57.1%, black: 23.6%, maroon: 12.2%"
196.jpg,15.29,68,"gray, black, brown","gray: 25.0%, black: 22.7%, brown: 20.5%"
197.jpg,27.17,37,"gray, brown, gray","gray: 33.6%, brown: 28.3%, gray: 20.2%"
198.jpg,31.11,20,"brown, gray, gray","brown: 28.7%, gray: 21.2%, gray: 21.0%"
199.jpg,12.64,103,"gray, brown, gray","gray: 34.9%, brown: 22.3%, gray: 20.8%"
2.jpg,18.57,54,"white, brown, brown","white: 27.0%, brown: 25.7%, brown: 22.0%"
20.jpg,17.31,64,"black, white, gray","black: 31.7%, white: 18.5%, gray: 16.9%"
200.jpg,18.82,63,"gray, gray, gray","gray: 32.4%, gray: 25.9%, gray: 16.2%"
201.jpg,78.17,4,"white, gray, gray","white: 41.9%, gray: 16.2%, gray: 14.3%"
202.jpg,30.86,30,"black, gray, gray","black: 37.0%, gray: 21.4%, gray: 19.1%"
203.jpg,28.44,41,"orange, brown, maroon","orange: 29.1%, brown: 27.6%, maroon: 20.9%"
204.jpg,11.48,181,"gray, gray, gray","gray: 36.8%, gray: 24.4%, gray: 17.9%"
205.jpg,25.42,20,"gray, white, maroon","gray: 23.3%, white: 21.1%, maroon: 20.9%"
206.jpg,18.83,42,"gray, white, brown","gray: 23.8%, white: 22.5%, brown: 19.1%"
207.jpg,23.83,33,"gray, maroon, white","gray: 25.7%, maroon: 23.0%, white: 19.3%"
208.jpg,21.54,52,"brown, gray, brown","brown: 30.3%, gray: 28.8%, brown: 27.5%"
209.jpg,22.44,38,"orange, cyan, orange","orange: 32.9%, cyan: 27.5%, orange: 17.4%"
21.jpg,9.97,175,"gray, white, gray","gray: 34.3%, white: 25.0%, gray: 21.9%"
210.jpg,69.09,10,"maroon, brown, brown","maroon: 37.8%, brown: 27.6%, brown: 17.7%"
211.jpg,64.92,9,"brown, brown, maroon","brown: 24.5%, brown: 23.9%, maroon: 22.3%"
212.jpg,21.45,37,"orange, navy, brown","orange: 25.4%, navy: 23.9%, brown: 21.5%"
213.jpg,27.79,23,"gray, black, gray","gray: 23.4%, black: 23.0%, gray: 22.8%"
214.jpg,17.65,81,"gray, gray, gray","gray: 33.3%, gray: 30.7%, gray: 16.5%"
215.jpg,26.63,54,"brown, gray, blue","brown: 25.7%, gray: 25.0%, blue: 17.5%"
216.jpg,113.71,5,"black, purple, brown","black: 32.2%, purple: 21.8%, brown: 16.6%"
217.jpg,20.1,39,"orange, cyan, navy","orange: 23.6%, cyan: 22.7%, navy: 21.3%"
218.jpg,38.25,17,"brown, black, gray","brown: 36.3%, black: 24.1%, gray: 19.2%"
219.jpg,16.43,61,"gray, gray, maroon","gray: 25.5%, gray: 24.7%, maroon: 22.7%"
22.jpg,8.82,230,"white, gray, gray","white: 40.3%, gray: 25.3%, gray: 18.5%"
220.jpg,38.02,16,"gray, gray, black","gray: 32.4%, gray: 26.9%, black: 23.4%"
221.jpg,12.92,104,"gray, white, brown","gray: 23.7%, white: 20.5%, brown: 20.0%"
222.jpg,24.88,25,"maroon, white, gray","maroon: 37.3%, white: 24.5%, gray: 19.9%"
223.jpg,47.97,19,"navy, brown, gray","navy: 27.9%, brown: 21.8%, gray: 21.6%"
224.jpg,28.25,27,"brown, brown, maroon","brown: 29.8%, brown: 27.7%, maroon: 18.3%"
225.jpg,14.87,57,"gray, orange, brown","gray: 27.4%, orange: 23.1%, brown: 20.5%"
226.jpg,20.87,64,"black, maroon, gray","black: 27.6%, maroon: 23.2%, gray: 18.5%"
227.jpg,14.8,73,"white, orange, orange","white: 34.1%, orange: 24.3%, orange: 20.5%"
228.jpg,141.57,3,"maroon, black, brown","maroon: 27.2%, black: 20.3%, brown: 19.5%"
229.jpg,161.87,4,"black, brown, gray","black: 32.0%, brown: 22.6%, gray: 19.9%"
23.jpg,13.15,75,"white, cyan, gray","white: 48.2%, cyan: 16.2%, gray: 15.0%"
230.jpg,126.52,5,"maroon, brown, maroon","maroon: 31.8%, brown: 23.2%, maroon: 19.6%"
231.jpg,18.76,50,"gray, gray, gray","gray: 34.4%, gray: 23.1%, gray: 19.3%"
232.jpg,51.91,10,"maroon, brown, gray","maroon: 36.6%, brown: 24.1%, gray: 18.6%"
