filename,mean_grain_diameter_px,grain_count,dominant_colors,color_percentages
307.jpg,9.93,86,"white, gray, gray","white: 76.5%, gray: 9.6%, gray: 7.8%"
308.jpg,7.23,19,"white, gray, gray","white: 61.9%, gray: 14.3%, gray: 13.8%"
309.jpg,12.36,55,"white, gray, gray","white: 71.1%, gray: 13.5%, gray: 7.3%"
31.jpg,10.33,92,"white, white, white","white: 51.7%, white: 21.2%, white: 16.2%"
310.jpg,15.24,33,"white, gray, gray","white: 77.9%, gray: 8.9%, gray: 7.5%"
311.jpg,9.37,19,"white, gray, gray","white: 77.2%, gray: 8.7%, gray: 6.5%"
312.jpg,8.81,39,"white, gray, gray","white: 79.1%, gray: 7.4%, gray: 7.2%"
313.jpg,780.62,1,"black, gray, white","black: 66.5%, gray: 10.6%, white: 8.8%"
314.jpg,11.43,111,"gray, gray, gray","gray: 33.3%, gray: 19.8%, gray: 18.9%"
315.jpg,10.23,277,"white, white, gray","white: 32.0%, white: 29.8%, gray: 21.5%"
316.jpg,734.29,1,"black, white, gray","black: 71.0%, white: 9.2%, gray: 8.6%"
317.jpg,0,0,"white, white, white","white: 63.6%, white: 11.8%, white: 11.5%"
318.jpg,14.74,77,"white, gray, gray","white: 55.4%, gray: 13.6%, gray: 11.1%"
319.jpg,13.87,85,"white, white, gray","white: 33.3%, white: 32.1%, gray: 15.9%"
32.jpg,5.75,118,"white, white, white","white: 86.2%, white: 5.3%, white: 4.0%"
320.jpg,12.48,77,"white, white, gray","white: 64.3%, white: 12.7%, gray: 12.0%"
321.jpg,20.6,45,"white, white, gray","white: 38.4%, white: 27.0%, gray: 19.3%"
322.jpg,18.89,95,"white, gray, gray","white: 30.4%, gray: 29.6%, gray: 19.0%"
323.jpg,21.92,77,"white, gray, gray","white: 32.5%, gray: 24.4%, gray: 16.4%"
324.jpg,9.71,65,"white, white, gray","white: 60.5%, white: 14.8%, gray: 14.1%"
325.jpg,226.8,2,"white, gray, gray","white: 56.1%, gray: 17.9%, gray: 15.5%"
326.jpg,184.38,3,"white, gray, gray","white: 39.8%, gray: 22.0%, gray: 21.4%"
327.jpg,14.58,200,"brown, gray, gray","brown: 24.6%, gray: 23.4%, gray: 22.2%"
328.jpg,13.84,168,"gray, brown, gray","gray: 29.2%, brown: 27.4%, gray: 20.3%"
329.jpg,16.56,42,"white, gray, white","white: 65.9%, gray: 13.3%, white: 9.4%"
33.jpg,11.45,102,"white, gray, gray","white: 64.9%, gray: 11.5%, gray: 11.3%"
330.jpg,9.14,290,"white, gray, gray","white: 37.5%, gray: 23.1%, gray: 18.4%"
331.jpg,13.59,191,"white, gray, white","white: 46.8%, gray: 19.0%, white: 15.9%"
332.jpg,4.89,9,"white, white, white","white: 59.7%, white: 19.3%, white: 10.2%"
333.jpg,12.33,120,"white, gray, gray","white: 67.0%, gray: 9.8%, gray: 8.9%"
334.jpg,12.32,202,"gray, gray, gray","gray: 42.3%, gray: 25.8%, gray: 16.1%"
335.jpg,6.13,56,"white, white, white","white: 29.4%, white: 26.9%, white: 25.3%"
336.jpg,18.72,95,"white, gray, gray","white: 43.1%, gray: 26.3%, gray: 15.7%"
337.jpg,12.03,59,"white, gray, gray","white: 39.3%, gray: 29.4%, gray: 19.0%"
34.jpg,12.09,188,"gray, gray, brown","gray: 25.8%, gray: 24.4%, brown: 20.2%"
35.jpg,9.3,116,"white, gray, gray","white: 30.6%, gray: 21.9%, gray: 18.1%"
36.jpg,33.61,3,"white, white, gray","white: 59.8%, white: 12.2%, gray: 11.4%"
37.jpg,18.98,11,"white, white, gray","white: 60.2%, white: 12.4%, gray: 10.9%"
39.jpg,15.74,32,"gray, gray, gray","gray: 25.4%, gray: 24.5%, gray: 22.4%"
4.jpg,15.35,63,"gray, gray, white","gray: 28.5%, gray: 24.2%, white: 17.6%"
40.jpg,30.39,16,"white, gray, brown","white: 40.0%, gray: 17.5%, brown: 15.5%"
41.jpg,19.69,23,"white, white, brown","white: 60.2%, white: 13.5%, brown: 10.9%"
42.jpg,16.05,118,"white, gray, gray","white: 31.5%, gray: 26.7%, gray: 20.2%"
43.jpg,103.33,6,"gray, gray, gray","gray: 34.4%, gray: 30.8%, gray: 14.3%"
44.jpg,27.93,25,"gray, white, brown","gray: 29.4%, white: 18.6%, brown: 18.3%"
45.jpg,281.45,2,"brown, brown, gray","brown: 27.4%, brown: 24.0%, gray: 20.7%"
46.jpg,10.38,199,"gray, gray, white","gray: 25.1%, gray: 24.2%, white: 22.9%"
47.jpg,10.38,199,"gray, gray, white","gray: 25.1%, gray: 24.2%, white: 22.9%"
48.jpg,10.38,199,"gray, gray, white","gray: 25.1%, gray: 24.2%, white: 22.9%"
49.jpg,13.25,140,"gray, white, gray","gray: 26.2%, white: 24.6%, gray: 22.0%"
5.png,8.97,135,"white, gray, maroon","white: 39.2%, gray: 19.2%, maroon: 18.5%"
50.jpg,22.53,38,"white, gray, brown","white: 24.4%, gray: 21.4%, brown: 21.0%"
51.jpg,11.77,160,"gray, white, gray","gray: 30.2%, white: 25.0%, gray: 22.4%"
52.jpg,72.0,7,"white, black, brown","white: 49.4%, black: 14.8%, brown: 13.8%"
53.jpg,16.56,48,"gray, gray, gray","gray: 27.7%, gray: 25.5%, gray: 21.5%"
54.jpg,14.31,92,"gray, gray, black","gray: 22.9%, gray: 22.5%, black: 21.2%"
55.jpg,32.52,30,"gray, black, gray","gray: 24.4%, black: 23.6%, gray: 20.7%"
56.jpg,40.06,17,"gray, gray, gray","gray: 35.5%, gray: 23.3%, gray: 18.4%"
57.jpg,16.52,64,"black, gray, gray","black: 26.2%, gray: 25.8%, gray: 20.9%"
58.jpg,9.95,213,"gray, gray, white","gray: 30.8%, gray: 26.2%, white: 20.1%"
59.jpg,14.79,137,"gray, gray, gray","gray: 27.4%, gray: 25.6%, gray: 23.1%"
6.jpg,10.86,167,"brown, gray, white","brown: 30.1%, gray: 27.6%, white: 18.1%"
60.jpg,15.64,65,"gray, gray, gray","gray: 22.6%, gray: 21.7%, gray: 21.6%"
61.jpg,14.77,29,"white, gray, gray","white: 79.3%, gray: 7.1%, gray: 5.9%"
