filename,mean_grain_diameter_px,grain_count,dominant_colors,color_percentages
1 (402).jpg,9.88,33,"gray, gray, gray","gray: 31.7%, gray: 26.4%, gray: 18.1%"
1 (403).jpg,201.18,1,"white, brown, gray","white: 34.4%, brown: 24.0%, gray: 17.7%"
1 (404).jpg,0,0,"gray, white, gray","gray: 30.9%, white: 25.8%, gray: 21.5%"
1 (406).jpg,38.9,5,"white, gray, gray","white: 46.6%, gray: 18.9%, gray: 13.5%"
1 (407).jpg,6.57,5,"white, white, white","white: 58.8%, white: 24.2%, white: 10.5%"
1 (408).jpg,34.71,10,"gray, white, black","gray: 27.9%, white: 25.3%, black: 17.7%"
1 (409).jpg,252.75,1,"gray, gray, gray","gray: 47.9%, gray: 16.5%, gray: 15.6%"
1 (41).jpg,252.42,1,"gray, white, darkgreen","gray: 34.4%, white: 27.6%, darkgreen: 16.8%"
1 (410).jpg,4.37,1,"white, white, gray","white: 86.7%, white: 4.3%, gray: 4.2%"
1 (411).jpg,213.13,1,"gray, white, gray","gray: 29.9%, white: 25.9%, gray: 24.6%"
1 (412).jpg,6.84,9,"white, gray, white","white: 81.8%, gray: 7.3%, white: 6.2%"
1 (413).jpg,27.11,10,"gray, gray, gray","gray: 28.6%, gray: 25.0%, gray: 19.3%"
1 (414).jpg,12.72,65,"gray, gray, gray","gray: 23.5%, gray: 23.1%, gray: 20.9%"
1 (415).jpg,249.67,1,"gray, gray, gray","gray: 39.9%, gray: 35.3%, gray: 22.8%"
1 (416).jpg,14.1,4,"white, gray, gray","white: 28.9%, gray: 28.9%, gray: 20.0%"
1 (417).jpg,17.66,23,"black, gray, gray","black: 22.0%, gray: 21.2%, gray: 19.7%"
1 (42).jpg,36.26,11,"white, gray, gray","white: 60.4%, gray: 15.1%, gray: 12.1%"
1 (420).jpg,30.55,7,"gray, gray, brown","gray: 25.7%, gray: 22.5%, brown: 22.1%"
1 (421).jpg,252.18,1,"gray, gray, black","gray: 29.7%, gray: 25.7%, black: 23.2%"
1 (422).jpg,251.71,1,"black, black, brown","black: 69.9%, black: 12.5%, brown: 11.5%"
1 (423).jpg,0,0,"white, white, white","white: 51.2%, white: 25.6%, white: 10.4%"
1 (424).jpg,45.56,3,"white, gray, gray","white: 40.0%, gray: 24.5%, gray: 13.6%"
1 (43).jpg,15.34,29,"white, gray, gray","white: 29.9%, gray: 22.7%, gray: 22.4%"
1 (430).jpg,11.74,52,"gray, white, gray","gray: 27.8%, white: 27.8%, gray: 22.5%"
1 (431).jpg,11.89,26,"white, gray, gray","white: 34.4%, gray: 25.1%, gray: 21.3%"
1 (432).jpg,16.49,24,"white, gray, gray","white: 22.5%, gray: 21.5%, gray: 20.6%"
1 (433).jpg,252.75,1,"gray, brown, brown","gray: 57.2%, brown: 15.4%, brown: 14.4%"
1 (434).jpg,85.51,3,"gray, maroon, gray","gray: 34.9%, maroon: 24.4%, gray: 21.4%"
1 (435).jpg,14.08,28,"gray, gray, gray","gray: 30.5%, gray: 23.3%, gray: 21.0%"
1 (436).jpg,9.3,13,"white, white, white","white: 40.5%, white: 33.6%, white: 13.7%"
1 (437).jpg,66.18,1,"white, white, white","white: 52.3%, white: 30.6%, white: 9.8%"
1 (438).jpg,22.9,14,"gray, gray, black","gray: 30.2%, gray: 20.7%, black: 18.5%"
1 (439).jpg,39.19,7,"gray, brown, gray","gray: 23.4%, brown: 22.0%, gray: 21.8%"
1 (44).jpg,30.6,5,"whitesmoke, gray, gray","whitesmoke: 37.8%, gray: 20.6%, gray: 14.7%"
1 (440).jpg,7.86,19,"white, gray, gray","white: 33.6%, gray: 19.3%, gray: 18.6%"
1 (443).jpg,6.0,2,"white, white, white","white: 37.6%, white: 32.7%, white: 27.0%"
1 (444).jpg,4.56,14,"white, white, gray","white: 27.1%, white: 23.4%, gray: 20.5%"
1 (445).jpg,23.23,15,"gray, gray, navy","gray: 34.1%, gray: 28.7%, navy: 18.2%"
1 (446).jpg,10.88,21,"gray, gray, gray","gray: 28.9%, gray: 24.4%, gray: 19.6%"
1 (447).jpg,125.56,2,"gray, gray, black","gray: 27.8%, gray: 26.3%, black: 17.7%"
1 (448).jpg,0,0,"white, white, white","white: 42.2%, white: 26.7%, white: 23.3%"
1 (449).jpg,8.68,29,"white, gray, gray","white: 53.4%, gray: 16.6%, gray: 12.0%"
1 (45).jpg,13.86,41,"white, gray, gray","white: 24.7%, gray: 23.3%, gray: 20.9%"
1 (450).jpg,18.43,20,"gray, white, gray","gray: 25.7%, white: 24.7%, gray: 18.1%"
1 (451).jpg,41.13,5,"white, gray, gray","white: 40.6%, gray: 16.7%, gray: 15.2%"
1 (452).jpg,10.02,17,"gray, gray, white","gray: 33.8%, gray: 32.4%, white: 15.0%"
