filename,mean_grain_diameter_px,grain_count,dominant_colors,color_percentages
9.jpg,9.13,155,"white, white, gray","white: 37.4%, white: 22.5%, gray: 20.5%"
90.jpg,15.47,263,"gray, gray, gray","gray: 25.3%, gray: 24.6%, gray: 20.9%"
91.JPEG,15.03,350,"white, gray, gray","white: 39.7%, gray: 18.5%, gray: 16.2%"
92.jpg,12.74,58,"gray, gray, gray","gray: 33.2%, gray: 25.1%, gray: 19.7%"
93.jpg,11.78,484,"gray, gray, brown","gray: 24.5%, gray: 21.6%, brown: 19.3%"
94.jpg,112.38,2,"white, brown, brown","white: 26.4%, brown: 25.8%, brown: 22.8%"
95.jpg,758.63,1,"gray, black, gray","gray: 28.8%, black: 27.6%, gray: 21.4%"
96.jpg,18.3,39,"gray, gray, navy","gray: 27.8%, gray: 20.2%, navy: 20.1%"
97.jpg,16.46,104,"brown, maroon, gray","brown: 26.9%, maroon: 24.1%, gray: 17.9%"
98.JPEG,17.53,35,"gray, gray, gray","gray: 24.3%, gray: 20.9%, gray: 19.9%"
99.jpg,21.24,72,"gray, gray, gray","gray: 25.1%, gray: 24.4%, gray: 22.0%"
granite.png,13.53,56,"gray, gray, black","gray: 41.6%, gray: 28.7%, black: 11.6%"
